Name,Description,Unit,Driver-Developed,Driver-Emerging
AGR,Agiculture,PJ,GDP Agriculture,GDP Agriculture
CCK,Commercial cooking,PJ,GDP Service,GDP Service
CHW,Commercial hot water,PJ,GDP Service,GDP Service
CLA,Commercial lighting and appliances,PJ,GDP Service,GDP Service
COE,Commercial other electric,PJ,GDP Service,GDP Service
COT,Commercial other,PJ,GDP Service,GDP Service
CRF,Commercial refrigeration,PJ,GDP Service,GDP Service
CSC,Commercial space cooling,PJ,GDP Service,GDP Service
CSH,Commercial space heating,PJ,GDP Service,GDP Service
ICH,Chemicals,PJ,GDP Industry,GDP Industry
ICH_Feedstock,Chemical Feedstock,PJ,GDP Industry,GDP Industry
IFP,Food processing,PJ,GDP per Household,GDP per Household
IIS,Iron and Steel,mt,GDP Industry,GDP Industry
ILP,Pulp and Paper,mt,GDP Industry,GDP Industry
IMC,Mining and Construction,PJ,GDP Industry,GDP Industry
INF,Non-ferrous metals,mt,GDP Manufacturing,GDP Manufacturing
INM,Non-metals,mt,GDP Industry,GDP Industry
IOI,Other,PJ,GDP Industry,GDP Industry
ITM,Transport and machinery,PJ,GDP Manufacturing,GDP Manufacturing
NEU,Other non-energy,PJ,GDP,GDP
ONO,Other non-specified,PJ,GDP Industry,GDP Industry
RCK,Residential cooking,PJ,Population,Population
REA,Residential appliances,PJ,GDP per Household,GDP per Household
RHW,Residential hot water,PJ,Population,Population
RLI,Residential lighting,PJ,GDP per capita,GDP per capita
ROT,Residential other,PJ,Households,GDP per Household
RRF,Residential refrigeration,PJ,Households,GDP per Household
RSC,Residential space cooling,PJ,Households,GDP per Household
RSH,Residential space heating,PJ,Households,GDP per Household
TAD,Transport aviation domestic,PJ,GDP,GDP
TAI,Transport aviation international,PJ,GDP,GDP
Trd_2w,Transport Road 2-wheelers,Bvkm,Population,Population
Trd_3w,Transport Road 3-wheelers,Bvkm,Population,Population
Trd_bus,Transport Road bus,Bvkm,Population,Population
Trd_car,Transport Road car,Bvkm,GDP per capita,GDP per capita
Trd_hdt,Transport heavy trucks,Bvkm,GDP,GDP
Trd_lcv,Transport light comm veh,Bvkm,GDP,GDP
TTF,Transport Rail freight,PJ,GDP,GDP
TTP,Transport Rail passenger,PJ,Population,Population
TWD,Transport Ships domestic,PJ,GDP,GDP
TWI,Transport Ships International,PJ,GDP,GDP
