season,months,days,block,clock_hours,hours,share_of_year
S1,"Dec, Jan, Feb",90 d,H01,21–03,6 h,6.16%
S1,"Dec, Jan, Feb",90 d,H02,03–06,3 h,3.08%
S1,"Dec, Jan, Feb",90 d,H03,06–07,1 h,1.03%
S1,"Dec, Jan, Feb",90 d,H04,07–08,1 h,1.03%
S1,"Dec, Jan, Feb",90 d,H05,08–09,1 h,1.03%
S1,"Dec, Jan, Feb",90 d,H06,09–11,2 h,2.05%
S1,"Dec, Jan, Feb",90 d,H07,11–13,2 h,2.05%
S1,"Dec, Jan, Feb",90 d,H08,13–15,2 h,2.05%
S1,"Dec, Jan, Feb",90 d,H09,15–17,2 h,2.05%
S1,"Dec, Jan, Feb",90 d,H10,17–18,1 h,1.03%
S1,"Dec, Jan, Feb",90 d,H11,18–19,1 h,1.03%
S1,"Dec, Jan, Feb",90 d,H12,19–21,2 h,2.05%
S2,"Mar, Apr, May",92 d,H01,21–03,6 h,6.30%
S2,"Mar, Apr, May",92 d,H02,03–06,3 h,3.15%
S2,"Mar, Apr, May",92 d,H03,06–07,1 h,1.05%
S2,"Mar, Apr, May",92 d,H04,07–08,1 h,1.05%
S2,"Mar, Apr, May",92 d,H05,08–09,1 h,1.05%
S2,"Mar, Apr, May",92 d,H06,09–11,2 h,2.10%
S2,"Mar, Apr, May",92 d,H07,11–13,2 h,2.10%
S2,"Mar, Apr, May",92 d,H08,13–15,2 h,2.10%
S2,"Mar, Apr, May",92 d,H09,15–17,2 h,2.10%
S2,"Mar, Apr, May",92 d,H10,17–18,1 h,1.05%
S2,"Mar, Apr, May",92 d,H11,18–19,1 h,1.05%
S2,"Mar, Apr, May",92 d,H12,19–21,2 h,2.10%
S3,"Jun, Jul, Aug",92 d,H01,21–03,6 h,6.30%
S3,"Jun, Jul, Aug",92 d,H02,03–06,3 h,3.15%
S3,"Jun, Jul, Aug",92 d,H03,06–07,1 h,1.05%
S3,"Jun, Jul, Aug",92 d,H04,07–08,1 h,1.05%
S3,"Jun, Jul, Aug",92 d,H05,08–09,1 h,1.05%
S3,"Jun, Jul, Aug",92 d,H06,09–11,2 h,2.10%
S3,"Jun, Jul, Aug",92 d,H07,11–13,2 h,2.10%
S3,"Jun, Jul, Aug",92 d,H08,13–15,2 h,2.10%
S3,"Jun, Jul, Aug",92 d,H09,15–17,2 h,2.10%
S3,"Jun, Jul, Aug",92 d,H10,17–18,1 h,1.05%
S3,"Jun, Jul, Aug",92 d,H11,18–19,1 h,1.05%
S3,"Jun, Jul, Aug",92 d,H12,19–21,2 h,2.10%
S4,"Sep, Oct, Nov",91 d,H01,21–03,6 h,6.23%
S4,"Sep, Oct, Nov",91 d,H02,03–06,3 h,3.12%
S4,"Sep, Oct, Nov",91 d,H03,06–07,1 h,1.04%
S4,"Sep, Oct, Nov",91 d,H04,07–08,1 h,1.04%
S4,"Sep, Oct, Nov",91 d,H05,08–09,1 h,1.04%
S4,"Sep, Oct, Nov",91 d,H06,09–11,2 h,2.08%
S4,"Sep, Oct, Nov",91 d,H07,11–13,2 h,2.08%
S4,"Sep, Oct, Nov",91 d,H08,13–15,2 h,2.08%
S4,"Sep, Oct, Nov",91 d,H09,15–17,2 h,2.08%
S4,"Sep, Oct, Nov",91 d,H10,17–18,1 h,1.04%
S4,"Sep, Oct, Nov",91 d,H11,18–19,1 h,1.04%
S4,"Sep, Oct, Nov",91 d,H12,19–21,2 h,2.08%
